area,state,median income
San Jose,CA,113036
San Francisco,CA,112376
Seattle,WA,93481
Washington DC,DC,85203
San Diego,CA,79646
Portland,OR,73097
Boston,MA,71834
Austin,TX,71543
Denver,CO,68377
New York,NY,63799
Los Angeles,CA,62474
Charlotte,NC,60764
Nashville,TN,60324
Fort Worth,TX,58448
Phoenix,AZ,57957
Chicago,IL,57238
Jacksonville,FL,54269
Columbus,OH,52971
Dallas,TX,52210
Houston,TX,51203
San Antonio,TX,49024
Indianapolis,IN,47678
Philadelphia,PA,46116
El Paso,TX,45031
Detroit,MI,31283
DC,DC,85203
