address,area,bath,bed,city,description,garage_space,price,property_type,sqft,state,taxes_2015,taxes_2016,taxes_2017,taxes_2018,taxes_2019,year_built,zip
142 28th Ave,San Francisco,4,4,San Francisco,"ID#1857: Sea Cliff Remodeled 4BR/4BA 3-Level House w/Incredible GGB Views, 3 Decks, Garage Located in the Sea Cliff neighborhood, this gorgeous single family house offers a beautiful blend of traditional and contemporary architecture. Built in 1923, this home was newly remodeled and offers views from 3 levels of living space, 4 bedrooms, 4 bathrooms, including a top floor master suite w/panoramic views, formal and informal living, basement, large garage + off-street parking, charming yard, and 3 decks w/GGB views. On one side of the large inviting foyer is the formal living room w/a bay of windows and wood-burning fireplace, and the other side leads to the formal dining room. Gourmet kitchen features Carrera Quartz Countertops w/breakfast bar, high-end appliances, farm sink, large pantry, and an abundance of cabinetry. A skylit family room is at the back of the home w/built-in shelving for an ideal home entertainment center or bar. It opens onto a large deck",,12995,Single Family Home,3306,CA,2017,3107,2111,2440,2606,1923,94121
224 Lexington St,San Francisco,1,2,San Francisco,"Cherish your private oasis on Lexington St that's only steps from the vitality and convenience of Valencia & Mission. This 1st-floor Victorian condo boasts many period details, yet was renovated from top to bottom to provide its new owners with a variety of modern amenities. Enjoy an open kitchen and living space that's great for entertaining, and leads to a comfortable patio / deck area via French doors. Kitchen upgrades include new cabinetry & a custom island, white Caesarstone countertops, and all stainless appliances. The bathroom boasts a large walk-in shower, dual sinks, & towel warming rack. For your added comfort there's a new gas fireplace in the front bedroom (currently used as office/den) and a free-standing gas stove in the living area. New tile flooring was installed throughout as well as an extensive ($15K) sound-proofing upgrade on the ceilings. You're a short walk to BART and Muni, plus there's easy access to the tech shuttle pick-up stations. Walkscore is 99!",,1195000,Condo/Townhome/Row Home/Co-Op,1100,CA,,7837,7982,8379,8669,1906,94110
25 Hartford St,San Francisco,2.5,3,San Francisco,"Nestled on a quiet, tree-lined, Victorian-era block in the heart of the Castro, this gorgeous 2lvl, 3BDR/2.5BA Queen Anne home on an extra deep, 3125 ft lot is the one! Soaring ceilings, rich wood flrs, original int wood staircase, and crown molding. LR w bay wndws, marble tiled gas fireplace. Sleek powder rm. Huge FDR w custom French drs opens spacious deck perfect for entertaining. Renovated pro KIT w ample work and storage space, top of the line stainless applncs, and sun filled brkfst rm opens to deck and garden. Skylit upper lvl w 3 spacious BDRs, and 2 b'ful renovated BAs. Main BDR w en suite full tiled BA and walk-in closet. Expansive, pro designed, lush, lvl garden and stone patio. Enormous 3 car garage w electric car outlet + work room. Expansion pot'l previously approved rear yard expansion plans by John Lum Architecture. New foundation 1999. Walk to Frances, Le Marais, Dolores Park, Bi-Rite, and more world class destinations - 99 WalkScore! You can have it all!",,2595000,Single Family Home,1935,CA,17727,24336,24717,25312,31044,1901,94114
2147 Bay St Unit A,San Francisco,1,1,San Francisco,"Recently updated, this light-filled garden condo looks out over lush and serene landscaping. On a coveted block of the Marina, this idyllic haven is just two blocks from the vibrant Chestnut Corridor, offering the perfect flexibility to work from home while enjoying the finest of city life. Balancing a contemporary yet classic style, it features a spacious bedroom and a superbly updated kitchen and bathroom. Harmonious indoor/outdoor flow merge the kitchen and dining areas with the exclusive patio space, with an inviting garden and tranquil lounge area just beyond. A walker and biker's paradise, with a Walk Score of 97, it is just steps to the Marina Green, Crissy Field & Beach, The Presidio, and San Francisco's best restaurants, shopping and parks.",,850000,Condo/Townhome/Row Home/Co-Op,690,CA,,,,,,1928,94123
1155 Leavenworth St Apt 22,San Francisco,1,1,San Francisco,"Charming One bedroom one bath private Hideaway facing the greenery and the beautiful buildings of Kimball Place, Unit 22 is the the only unit on this floor with entrance from Kimball Alley or the main lobby. The vintage elevator whisks you away to the roof top deck to view iconic San Francisco landmarks like Golden Gate Bridge, The Bay and Grace Cathedral. Original hardwood floors, updated kitchen with stainless appliances & marble counters, sizable rooms, gracious entrance hallways and good closet space make this adorable home perfect for a first time home buyer or investor. Nestled between two world-famous Cable-car lines, accessible to all modes of transportation, world class restaurants, Trader Joe's, and other gourmet and specialty stores, makes 1155 Leavenworth unit 22 the perfect City home.",,649000,Condo/Townhome/Row Home/Co-Op,,CA,,,,,,1911,94109
1135 Dyre St,Philadelphia,1.5,4,Philadelphia,"1135 Dyre is a spacious twin in desirable Northwood. It features 4 bedrooms and 2 baths. All of the rooms are wonderfully spacious. Large back yard and situated on a beautiful tree lined street. This home does need your finishing touches, just a few cosmetic touches and this will be a wonderful Gem!!! Seller will not be making any repairs.",,210000,Condo/Townhome/Row Home/Co-Op,1828,PA,2151,2247,,,,1940,19124
1483 Monroe St NW Unit 1,DC,2,2,Washington,"10Square Development, in collaboration with Michael Cross Designs, presents its newest development, The Holmead Condominiums. The Holmead presents a unique opportunity for true ground-up construction of 4 bi-level condominiums, perfectly positioned on a one way street in Columbia Heights. Each unit features 2 bedrooms & 2 bathrooms on 2 sun-filled levels complete with private outdoor space. These units are slated for an early October delivery & now is your opportunity to take a hard hat tour & secure your new home at pre-delivery pricing.",,825000,Condo/Townhome/Row Home/Co-Op,,DC,,,,,,2020,20010
7268 Finnigan Rd,Charlotte,2.5,4,Charlotte,"Flexible floorplan features spacious kitchen with pantry. Gray kitchen cabinets compliment the granite countertops. Stainless steel smooth top range, microwave and dishwasher are included. Upstairs is the laundry room with linen closet, hall bath with double vanity and 3 bedrooms. Completing the upstairs is the owner's suite with vaulted ceiling, bath with double vanity and 5ft walk in shower and a huge walk in closet. Exceptional floorplan in brand new community. Home Is Connected? includes programmable thermostat, Z-Wave door lock and wireless switch, touchscreen control device, automation platform, video doorbell, and Amazon Show 5 and Echo Dot. All home features are subject to change without notice. Internet service not included. Community will include pool, cabana and tot lot.",2,259990,Single Family Home,1995,NC,,,,,,2020,28215
7264 Finnigan Rd,Charlotte,2.5,3,Charlotte,"Flexible floorplan features spacious kitchen with center island and pantry. White kitchen cabinets compliment the granite countertops. Stainless steel smooth top range, microwave and dishwasher are included. Upstairs is the laundry room, hall bath with duel sinks and 2 bedrooms. Completing the upstairs is the owner's suite with vaulted ceiling, bath with duel sinks and 5ft walk in shower and a huge walk in closet featuring 2 windows! Exceptional floorplan in brand new community. Home Is Connected? includes programmable thermostat, Z-Wave door lock and wireless switch, touchscreen control device, automation platform, video doorbell, and Amazon Echo and Echo Dot. All home features are subject to change without notice. Internet service not included. Community will include pool cabana and tot lot.",2,257730,Single Family Home,1854,NC,,,,,,2020,28215
7305 Finnigan Rd,Charlotte,3,5,Charlotte,"Flexible floorplan features spacious kitchen with center island and pantry. White kitchen cabinets compliment the granite countertops. Stainless steel smooth top range, microwave and dishwasher are included. A guest bedroom and full bath are the highlight of the main floor. Upstairs is the laundry room, linen closet, hall bath with duel sinks , 3 bedrooms and flexible loft. Completing the upstairs is the owner's suite with vaulted ceiling, bath with duel sinks and 5ft walk in shower and walk in closet. Exceptional floorplan in brand new community. Home Is Connected? includes programmable thermostat, Z-Wave door lock and wireless switch, touchscreen control device, automation platform, video doorbell, and Amazon Echo and Echo Dot. All home features are subject to change without notice. Internet service not included. Community will include pool , cabana and tot lot.",2,286690,Single Family Home,2368,NC,,,,,,2020,28215
