address,area,bath,bed,city,description,garage_space,price,property_type,sqft,state,taxes_2015,taxes_2016,taxes_2017,taxes_2018,taxes_2019,year_built,zip
142 28th Ave,San Francisco,4,4,San Francisco,"ID#1857: Sea Cliff Remodeled 4BR/4BA 3-Level House w/Incredible GGB Views, 3 Decks, Garage Located in the Sea Cliff neighborhood, this gorgeous single family house offers a beautiful blend of traditional and contemporary architecture. Built in 1923, this home was newly remodeled and offers views from 3 levels of living space, 4 bedrooms, 4 bathrooms, including a top floor master suite w/panoramic views, formal and informal living, basement, large garage + off-street parking, charming yard, and 3 decks w/GGB views. On one side of the large inviting foyer is the formal living room w/a bay of windows and wood-burning fireplace, and the other side leads to the formal dining room. Gourmet kitchen features Carrera Quartz Countertops w/breakfast bar, high-end appliances, farm sink, large pantry, and an abundance of cabinetry. A skylit family room is at the back of the home w/built-in shelving for an ideal home entertainment center or bar. It opens onto a large deck",,12995,Single Family Home,3306,CA,2017,3107,2111,2440,2606,1923,94121
1201 California St Unit 403,San Francisco,1,1,San Francisco,"Live atop Nob Hill, in One of San Francisco most prestigious buildings. Built in 1927 at the apex of Nob Hill, the Cathedral Building is a handsome Art Deco treasure - perfect for the smart, urbane homeowner who wants a trophy piece of San Francisco real estate. Apartment 403, a charming Unit with hardwood floors and high ceilings, has miles of sunny views, sweeping from the southeast bay across the city to Twin Peaks. The feeling is free and expansive, yet the space is quiet and private. 1201 California keeps company with other iconic Nob Hill buildings like Grace Cathedral, the Mark Hopkins, the Fairmont, the Pacific Union Club and more. Amenities include terrific outdoor space: a huge backyard with fantastic views and sun all day long, . There is 24-hour door personnel, fulltime on-site management, elevator and laundry.",1,850000,Condo/Townhome/Row Home/Co-Op,849,CA,2060,2086,2147,2173,2247,1927,94109
25 Hartford St,San Francisco,2.5,3,San Francisco,"Nestled on a quiet, tree-lined, Victorian-era block in the heart of the Castro, this gorgeous 2lvl, 3BDR/2.5BA Queen Anne home on an extra deep, 3125 ft lot is the one! Soaring ceilings, rich wood flrs, original int wood staircase, and crown molding. LR w bay wndws, marble tiled gas fireplace. Sleek powder rm. Huge FDR w custom French drs opens spacious deck perfect for entertaining. Renovated pro KIT w ample work and storage space, top of the line stainless applncs, and sun filled brkfst rm opens to deck and garden. Skylit upper lvl w 3 spacious BDRs, and 2 b'ful renovated BAs. Main BDR w en suite full tiled BA and walk-in closet. Expansive, pro designed, lush, lvl garden and stone patio. Enormous 3 car garage w electric car outlet + work room. Expansion pot'l previously approved rear yard expansion plans by John Lum Architecture. New foundation 1999. Walk to Frances, Le Marais, Dolores Park, Bi-Rite, and more world class destinations - 99 WalkScore! You can have it all!",,2595000,Single Family Home,1935,CA,17727,24336,24717,25312,31044,1901,94114
2147 Bay St Unit A,San Francisco,1,1,San Francisco,"Recently updated, this light-filled garden condo looks out over lush and serene landscaping. On a coveted block of the Marina, this idyllic haven is just two blocks from the vibrant Chestnut Corridor, offering the perfect flexibility to work from home while enjoying the finest of city life. Balancing a contemporary yet classic style, it features a spacious bedroom and a superbly updated kitchen and bathroom. Harmonious indoor/outdoor flow merge the kitchen and dining areas with the exclusive patio space, with an inviting garden and tranquil lounge area just beyond. A walker and biker's paradise, with a Walk Score of 97, it is just steps to the Marina Green, Crissy Field & Beach, The Presidio, and San Francisco's best restaurants, shopping and parks.",,850000,Condo/Townhome/Row Home/Co-Op,690,CA,,,,,,1928,94123
1 Federal St Apt 5,San Francisco,1,1,San Francisco,"1 Federal St. #5 is a premier one-bedroom South Beach residences blending the industrial elements of this historical building with the contemporary design used by surrounding luxury high-rises. Featuring an open living concept with soaring 17-ft ceiling heights, five closets (two walk-in), updated kitchen, hardwood floors throughout, office space, a gas fireplace, washer/dryer & over-sized large south facing windows overlooking a lush manicured courtyard. Residence #5 is one of only nine homes with a private courtyard entrance, offering reassurance of distance from neighbors while still being part of a community. One car parking is included. As part of 200 Brannan, you will enjoy the full suite of amenities incl. a concierge/ 24-hour doorman, large gym & onsite property management. Situated in the heart of South Beach, One Federal #5 is in a quiet interior courtyard, but only steps to all that South Beach has to offer, such as The Embarcadero waterfront, cafes, restaurants & transit.",1,815000,Condo/Townhome/Row Home/Co-Op,762,CA,8958,10047,10223,10062,10415,2003,94107
119 Crescent Ave,San Francisco,1,3,San Francisco,"First time on the market in 60+ years! Light and bright, 3BR/1BA home in Bernal Heights with city views, generous garden, huge garage/basement and plenty of potential. Recent improvements include new wide plank oak floors, double paned facade windows, stainless steel appliances, light fixtures, interior paint throughout, roof maintenance, furnace/ducts serviced, garden landscaping. Period details abound in this Victorian era home - formal living room with decorative fireplace, formal dining room with panelling, high coved ceilings, hallway wainscoting, original panelled doors, moldings throughout. Fantastic neighborhood amenities: ~2 blocks to St. Mary's Rec Center/Playground and Holly Park/Playground, 15 min walk to Glen Park BART, 10 min walk to Cortland Ave, 10 min walk to restaurant row on Mission!",,1095000,Single Family Home,1339,CA,,,,,,1905,94110
1155 Leavenworth St Apt 22,San Francisco,1,1,San Francisco,"Charming One bedroom one bath private Hideaway facing the greenery and the beautiful buildings of Kimball Place, Unit 22 is the the only unit on this floor with entrance from Kimball Alley or the main lobby. The vintage elevator whisks you away to the roof top deck to view iconic San Francisco landmarks like Golden Gate Bridge, The Bay and Grace Cathedral. Original hardwood floors, updated kitchen with stainless appliances & marble counters, sizable rooms, gracious entrance hallways and good closet space make this adorable home perfect for a first time home buyer or investor. Nestled between two world-famous Cable-car lines, accessible to all modes of transportation, world class restaurants, Trader Joe's, and other gourmet and specialty stores, makes 1155 Leavenworth unit 22 the perfect City home.",,649000,Condo/Townhome/Row Home/Co-Op,,CA,,,,,,1911,94109
1338 Noe St,San Francisco,2.5,2,San Francisco,"B'ful, spacious, remodeled 2 lvl, 2BDR/2.5BA Noe Valley home w downtown views and a 93 WalkScore! Open living and dining spaces flow together with newly refinished rich wood floors and a gorgeous wood burning fireplace plus peek-a-boo downtown views from the bay windows. Gorgeous dining space flows to the living room and kitchen perfect for entertaining! Expansive, eat-in, KIT w saltillo tile floors, granite countertops, stainless appliances, ample work and storage spaces, and a breakfast nook w built in seating. The KIT opens to a large, gorgeous tiled patio and an upper sun deck with unobstructed downtown views. A sleek powder room completes the main level. Upstairs 2 principal BDR suites, both w en suite, tiled, full baths. One suite offers a terrace space w downtown views. Huge 3 car garage w expansion potential recently used as a pro home office. Walk to Church St and 24th St villages, several MUNI lines, and tech shuttles. Mins to 101/280. The whole package!",,2150000,Single Family Home,1755,CA,18422,18653,18951,19480,20161,1910,94131
2555 Leavenworth St Apt 201,San Francisco,2,2,San Francisco,"This Russian Hill beauty draws you in with gorgeous SF Bay views! Floor-to-ceiling windows drench this spacious unit w/natural sunlight. The newly remodeled kitchen with quartz counters and polished porcelain backsplashopens to asizable living/dining room that is equippedwith a wood burning fireplace. Generous master bedroom w/ reclaimed wood wall and updated ensuite. 2nd bedroom and remodeled full bath off hall. New Spanish porcelainfloors in shared areas and new carpet in bedrooms. Common roof deck with breathtaking views of the Bay & Alcatraz! 1-car parking + deeded storage. Building w/intercom, elevator & common laundry. Incredible location just steps to Ghirardelli Square, Wharf & mins to Marina/North Beach/Upper Polk. Walk to great restaurants & shops, Trader Joe's - WalkScore 97!",1,1095000,Condo/Townhome/Row Home/Co-Op,952,CA,7510,7607,7753,8147,12737,1961,94133
437 Valley St,San Francisco,2,3,San Francisco,"Let your imagination flow: Great single family home project in primo location for owner occupier/developer to build a Noe Valley dream home! Charming 1920's home on a quiet tree-line block. Flexible floor plan, panoramic southern views & abundant outdoor living space. Main living level has 2 bedrooms, updated full bathroom, large living room w/wood burning fireplace & hardwood floors throughout. Kitchen has large eat-in solarium w/stunning southern views. Unwarranted, finished lower level has master suite w/bathroom and flexible use space perfect for home office, media room and/or gym! (warranted status of lower level unknown). Several decks overlook beautiful and lush, terraced edible and floral gardens leading to flat yard. Two car parking, one in attached garage w/Tesla charger and one in driveway. Amazing opportunity to design your dream home in this magical location. CityStructure Design development proposal for 4300+ sq ft buildout and ADU available. Can be lived in as-is as well",,1990000,Single Family Home,,CA,12735,12894,13110,25630,26524,1927,94131
