address,area,bath,bed,city,description,garage_space,price,property_type,sqft,state,taxes_2015,taxes_2016,taxes_2017,taxes_2018,taxes_2019,year_built,zip
Gaia Homes ,San Francisco,2,2,,Stellar 820 is a U-shaped layout with a covered deck in the middle to invite the outdoor in.. This two bedroom layout is suitable for people who love plenty of daylight in their bedrooms. Both rooms have easy access to the deck.,,rom ,Single Family Home,820,,,,,,,,
63 Lafayette St Apt 8,San Francisco,1.5,1,San Francisco,"Top floor residential loft with outdoor view space just off the master bedroom. Open LR/DR with soaring ceilings, skylights, contemporary railing system, track lighting wide-plank wood flooring and gas fireplace Floor-to-ceiling wall of windows provide amazing natural light Galley kitchen with stainless steel appliances and granite counter tops Loft BR with en suite BA Large private deck with city views In-unit laundry Internal access to assigned garage parking and storage Professionally managed Optimum mid-market corridor location. to Hayes Valley, the Valencia Corridor, public transportation. EZ freeway access.",1,799000,Condo/Townhome/Row Home/Co-Op,,CA,7298,7392,7531,10450,11020,2001,94103
814 Grafton Ave,San Francisco,4,5,San Francisco,"Completely redesigned & renovated Ingleside home w/breathtaking city views. 5BD/4BA, 3 story w/open concept modern designs. Behind the beautiful Spanish facade, this contemporary home offers the new engineering floors and recessed lightings throughout. Top level features spacious living room w/magnificent city views, electric fireplace, open dining room, chef's dream kitchen w/premium finishes, quartz countertops, professional-grade Jenn Air appliances, modern cabinetry and 2BD/2BA w/1 master suite. Main/street level features 2BD/2BA w/1 master suite, an entertaining family room w/wet bar, laundry room with hookup ready. Lower level is the 5th bedroom with city views. All bathrooms are tastefully designed and constructed. Beautiful back yard with large deck for entertaining and gardening. One car garage plus one parking in front of the house. Ingleside is close to public transportation, City College, SF State, Bart, 280 freeway and etc.",,1599000,Condo/Townhome/Row Home/Co-Op,2300,CA,823,837,886,1200,1241,1936,94112
1242 Francisco St Apt 1,San Francisco,2,2,San Francisco,"Rare 2BR 2BA Marina condo w/private yard space that is not in liquefaction. Visit for 3D tour. This open concept floor plan has been tastefully updated with new hardwood floors, fresh paint, & and is move-in ready. High ceilings, skylights, great lighting, in-unit washer dryer, fireplace, & direct access to private yard space offers great indoor/outdoor entertaining. For anyone wanting to live on the north side of town this is one of the best locations in the city - walk to Ft Mason, Ghirardelli Square, and all the shops, restaurants, & bars of Polk, Union & Chestnut Streets. For the active lifestyle there are plentiful hiking, biking, & running options along the waterfront and Presidio. If you have a car there are frequently available leased parking options in the neighborhood. Viewing options as follows: 3D tour on this site, live virtual tours & in-person viewing per current protocol available by appointment.",,1195000,Condo/Townhome/Row Home/Co-Op,931,CA,5947,6022,6140,6635,7106,1924,94123
230 States St,San Francisco,2.5,2,San Francisco,"If you're looking for something truly special & inspiring, this is one. Both the house & gardens are pure magic tranquil, uplifting & sublime. Nestled along one of San Francisco's most desirable view streets, this gorgeous Victorian home basks in the sunlight all day long. Awaken to bird songs & rustling leaves in this glorious garden setting. Sip morning coffee from your perch on the walk-out deck or imagine coming home at the end of the day to savor a glass of Prosecco as you watch the sky take on the lavender hues of sunset. Sumptuous built-in banquettes are perfect for social distancing dinner parties & set the stage for one of the most magical dining experiences imaginable above the twinkling lights. RH2 zoning allows for a second unit on this extra-deep through lot with frontage along Museum Way. Corona Heights Park & dog-run, the Randall Museum, Buena Vista Park, cafes, neighborhood shops, MUNI & tech shuttles are all close by. Welcome home to a new day at 230 States Street.",,2395000,Single Family Home,2200,CA,20572,20832,21121,21676,22484,1900,94114
67 Quail Hollow Dr Unit 67,San Jose,2,2,San Jose,"One of the few triple-wide homes nestled in a very desirable park with excellent location. This extremely well-maintained home offers a very generous 1, 824 sqft of living space; 2 bedrooms, and 2 baths - the master bath boasting a larger sunken tub with a step for easy access; a larger family room; separate dining room; central air; and the community amenities provide you club room access for parties and socializing and a billiards area. Please follow the CBR Prevention Plan for In-Person Visits:",,299950,Mfd/Mobile Home,1824,CA,,,,,,1976,95128
3081 Wall St,San Jose,2,4,San Jose,"Spacious home on HUGE lot! This bright, open concept, house has 3 very spacious, larger bedrooms, and one smaller bedroom with a walk in closet! Many ADU/acessibility friendly features such as a large, zero threshold shower with grab bars in rear hall bath, and metal ramps at the side and back of house, easily removed, if not needed. The property has a separate, large detached garage, an older additional storage shed, and still plenty of room for off street parking, entertaining, pets, gardening, etc. Check with the city to see if an additional in-law unit may be possible! Many upgrades recently completed, such as fresh exterior paint, warm gray interior paint, newly installed wood toned, vinyl plank flooring in high traffic areas, new carpet in bedrooms, and several new light fixtures. Why pay for someone else's style, when you can jump on this great home, priced just right to allow you to add your finishing touches, and possible instant equity.",2,720000,Single Family Home,1500,CA,1866,1900,1990,2035,2094,1950,95111
4750 Templeton St Apt 1323,Los Angeles,3,3,Los Angeles,"This two-story, top floor, much coveted corner unit is a move-in ready gem that comes with every condo amenity in the book. Nestled in the gated community of Hilltop, this stylish home features great interior space with oversized windows on both levels and loads of natural light beaming throughout. The upstairs, which has its own separate entrance, features a master suite with balcony and en suite full bathroom, a large second bedroom with a sky-high ceiling and grand windows, another full bath (both full baths have new low-flow toilets), and a conveniently situated laundry area with a brand new LG washer and dryer. Downstairs finds a third bedroom with picturesque surroundings, a large living room and dining area, and an open kitchen showcasing a brand new Kenmore Side-by-Side refrigerator and garbage disposal. The entire unit has been professionally painted. Of the myriad upgrades to this unit, the most impressive by far is the brand new HVAC system. Parking is side by side.",,485000,Condo/Townhome/Row Home/Co-Op,1245,CA,2584,3411,3501,3583,5029,1995,90032
3046 N Marmora Ave,Chicago,2.5,4,Chicago,"Pride of ownership! Well maintained large octagon brick bungalow. Many updates throughout the years. Large living / dining with recently refinished dark stained floors and crown molding updated paint and ceilings on main level. Expanded master of main floor, eat in kitchen with bosch dishwasher and newer stainless steel refrigerator. Recent tear off roof on home and garage. Home features all copper plumbing. Beautiful tiered deck with natural gas line for grill.",2,319000,Single Family Home,1500,IL,2836,3143,2992,3362,,1925,60634
3220 S 72nd Ln,Phoenix,2.5,4,Phoenix,Wow! Wow! Wow! An amazing affordable home built for the large family or the growing family. This home features an open floor plan where the kitchen opens into the family area. Perfect for the family to hangout. The family area leads out to the gorgeous inviting pool nestled on an oversize lot. Perfect for entertaining or those hot summer family nights. As you head up to the 2nd story you will find four good size bedrooms with a loft that can be used as an office or an additional family area The large master suite offers a spacious restroom with double sinks and tub and shower combo. The sellers are sad to leave this home and have made many fond memories. Now they are looking for a family that will make many fond memories of their own. Don't delay this property will move fast,2,289000,Single Family Home,2162,AZ,1249,1396,1414,1508,,2006,85043
